Time ms,Tvib mean K,Trot mean K,Time ms,Ttr cal isentropic K,Time ms,Pressure bar
-0.05557,1145.86831,563.18681,0,2668.92282,-0.10001,0.05189
-0.05492,1010.49212,532.24318,1.00E-04,2682.26898,-0.09992,0.03154
-0.05427,1250.78628,722.31961,2.00E-04,2682.14365,-0.09982,0.03154
-0.05362,859.26752,652.02722,3.00E-04,2682.01851,-0.09973,0.01798
-0.05297,430.20166,1138.63612,4.00E-04,2681.89355,-0.09964,-0.00237
-0.05232,424.58571,1312.35313,5.00E-04,2681.76877,-0.09955,0.04511
-0.05167,455.14972,1357.38326,6.00E-04,2681.64417,-0.09945,0.02476
-0.05102,499.46227,1350.76161,7.00E-04,2681.51975,-0.09936,0.03154
-0.05037,507.75629,1350.60302,8.00E-04,2681.3955,-0.09927,0.02476
-0.04972,517.18408,1346.70819,9.00E-04,2681.27143,-0.09917,0.02476
-0.04907,527.14584,1344.31089,0.001,2681.14753,-0.09908,0.03154
-0.04842,542.84228,1341.57405,0.0011,2681.02381,-0.09899,0.03154
-0.04777,546.52079,1331.4829,0.0012,2680.90026,-0.0989,0.03154
-0.04712,561.96633,1343.35227,0.0013,2680.77688,-0.0988,0.03832
-0.04647,573.91808,1337.73175,0.0014,2680.65367,-0.09871,0.02476
-0.04582,571.46895,1340.41329,0.0015,2680.53063,-0.09862,0.02476
-0.04517,596.15586,1336.44925,0.0016,2680.40776,-0.09852,0.02476
-0.04452,590.99101,1347.87135,0.0017,2680.28506,-0.09843,0.03154
-0.04388,593.44266,1337.17329,0.0018,2680.16254,-0.09834,0.03154
-0.04323,614.90323,1336.24097,0.0019,2680.04018,-0.09825,0.03154
-0.04258,622.25407,1335.7149,0.002,2679.91799,-0.09815,0.02476
-0.04193,626.07448,1341.49455,0.0021,2679.79597,-0.09806,0.02476
-0.04128,616.59916,1336.77346,0.0022,2679.67411,-0.09797,0.01798
-0.04063,637.17366,1342.43346,0.0023,2679.55243,-0.09788,0.02476
-0.03998,635.46274,1339.09587,0.0024,2679.43092,-0.09778,0.0112
