x;T1;Tv1
"-0.2";"5661.2";"1255.1"
"-0.18";"5661.2";"1268.6"
"2.266";"5660.3";"2733.7"
"5.785";"5658.9";"4039.2"
"9.74";"5657.5";"4820.5"
"13.345";"5656.3";"5250.2"
"13.431";"5656.3";"5255.7"
"20.633";5654;"5537.6"
"29.767";"5651.9";"5636.5"
"37.407";"5651.3";"5645.3"
"47.331";"5652.7";"5646.4"
"61.294";"5656.3";"5651.3"
"61.382";"5656.3";"5651.3"
"85.269";"5661.2";"5661.1"
"85.62";"5661.4";"5661.2"
"109.507";"5671.1";"5661.2"
"109.507";"5671.1";"5661.2"
"133.481";"5656.3";"5651.3"
"133.481";"5656.3";"5651.3"
"157.544";"5661.2";"5666.1"
"157.632";"5661.3";"5666.2"
"181.431";"5671.1";"5666.2"
"181.519";"5671.1";"5666.2"
"205.493";"5666.2";"5666.2"
"205.581";"5666.2";"5666.2"
"229.468";"5671.1";"5666.2"
"229.468";"5671.1";"5666.2"
"253.531";"5671.1";"5671.1"
"253.618";"5671.1";"5671.1"
"277.417";"5671.1";"5671.1"
"277.505";"5671.1";"5671.1"
"299.548";"5676.1";"5671.1"
"299.548";"5676.1";"5671.1"
