x;T1;Tv1
"0.047";"7093.5";"1455.8"
"0.336";"7093.1";"1741.7"
"1.436";"7091.8";"2617.5"
"3.8";"7088.9";"3908.7"
"6.165";7086;"4948.8"
"9.576";"7081.8";"5965.3"
"12.641";"7077.9";"6404.8"
"15.604";"7074.2";"6646.5"
"18.702";"7070.3";"6812.9"
"27.971";"7055.6";"6961.9"
"28.106";"7055.3";"6962.5"
"37.59";"7035.1";"6977.5"
"40.387";"7030.2";"6976.4"
"46.302";"7024.4";"6981.3"
"52.778";"7023.8";"7002.1"
"58.568";"7026.9";"7016.4"
"64.727";"7029.9";"7023.8"
"76.787";"7029.7";"7029.7"
"89.067";"7035.7";"7035.7"
"89.178";"7035.7";"7035.8"
"101.432";"7035.4";"7035.4"
"101.569";"7035.6";"7035.4"
"113.518";"7054.1";7043
"113.559";"7054.1";"7043.1"
"125.826";"7053.9";"7050.7"
"125.909";"7053.9";"7050.8"
"138.079";"7053.7";"7050.6"
"138.092";"7053.7";"7050.6"
"149.801";"7053.5";"7058.2"
"149.918";"7053.5";"7058.3"
