x;n_NO;n_NO_error;n_spec;n_NO_0
"-0.391";"21.2587";"20.6752";"22.0619";"21.2264"
"-0.104";"21.2591";"20.6669";"22.0584";"21.1206"
"1.045";"21.2609";"20.6335";"22.0441";"20.7007"
"3.918";"21.2651";"20.5509";"22.0087";"19.7217"
"10.812";"21.2738";"20.3592";"21.9288";"18.1515"
"20.002";"21.2796";"20.124";"21.8475";"17.0572"
"22.876";"21.2797";"20.0578";"21.8302";"16.7938"
"31.779";"21.2751";"20.8006";"21.7845";"16.219"
"32.066";"21.2749";"21.7001";"21.7828";"16.2063"
"32.066";"21.2749";"21.7001";"21.7828";"16.2063"
"34.94";"21.2718";"21.6583";"21.7624";"16.0903"
"37.524";"21.2687";"21.6125";"21.7327";"15.9975"
"43.268";"21.2607";"21.4966";"21.5363";"15.8186"
"52.46";"21.2472";"21.2936";"21.4871";"15.5977"
"55.909";"21.2424";"21.2158";"21.4147";"15.5338"
"60.503";"21.2365";"21.1129";"21.2907";"15.4643"
"73.141";"21.2258";"20.8571";"21.2904";"15.3428"
"78.886";"21.2248";"20.7996";"21.4386";"15.3095"
"79.173";"21.2249";"21.6992";"21.4469";"15.3081"
"79.173";"21.2249";"21.6992";"21.4469";"15.3081"
"88.077";"21.2297";"21.5909";"21.6336";"15.2715"
"88.079";"21.2297";"21.5909";"21.6336";"15.2715"
"99.567";"21.2446";"21.3592";"21.3226";"15.2391"
"113.067";"21.2681";"21.061";"21.1588";"15.2135"
"124.556";"21.2864";"20.8268";"21.0114";"15.1991"
"126.567";"21.289";"20.7987";"21.027";"15.1972"
"126.854";"21.2894";"21.6982";"21.0301";"15.1969"
"126.854";"21.2894";"20.796";"21.0301";"15.1969"
"138.633";"21.2991";"21.8865";"21.2031";"15.1888"
"139.205";"21.2994";"21.8903";"21.2073";"15.1885"
"146.961";"21.3013";"21.9188";"21.0763";"15.186"
"157.876";"21.2993";"21.9041";"21.0271";"15.1854"
"166.493";"21.2945";"21.844";"20.9615";"15.1862"
