x;n_NO;n_NO_0
"-0.019";"4.6998";"4.6955"
"-0.019";"4.6998";"4.6955"
"2.392";"4.7028";"3.0549"
"6.503";"4.6907";"2.2238"
"13.199";"4.6176";"1.8763"
"15.395";"4.5835";"1.8343"
"37.588";"4.1503";"1.5946"
"41.491";"4.0684";"1.5617"
"61.521";"3.6483";"1.398"
"67.016";"3.5357";"1.3541"
"85.568";"3.1766";"1.2105"
"93.453";"3.0379";"1.1551"
"109.397";"2.7768";"1.0575"
"119.661";"2.6149";"0.9994"
"133.662";"2.4007";"0.9193"
"145.186";"2.2334";"0.8567"
"157.64";"2.0681";"0.7965"
"171.508";"1.906";"0.7356"
"181.33";"1.7955";"0.6943"
"197.374";"1.6115";"0.6275"
"205.308";"1.5284";"0.5942"
"223.24";"1.3743";"0.5238"
"229.264";"1.3258";"0.5034"
"249.447";"1.1576";"0.446"
"253.413";"1.1267";"0.436"
"275.655";"0.9802";"0.3812"
"277.471";"0.9699";"0.3766"
"299.463";"0.8575";"0.3167"
"299.583";"0.8569";"0.3164"
