x;n_NO;n_NO_0
"0.083";"39.2044";"39.0594"
"0.54";"39.2057";"38.4401"
"10.135";"39.2322";"31.7891"
"32.295";"39.2545";"28.15"
"35.722";"39.2527";"27.8612"
"59.938";"39.2192";"26.9341"
"80.042";"39.1813";"26.8806"
"87.58";"39.1673";"26.8853"
"127.103";"39.1082";"26.9022"
"139.211";"39.0968";"26.9097"
"174.849";"39.0838";"26.9371"
"190.156";"39.0869";"26.9341"
"222.139";"39.0838";"26.8855"
"241.786";"39.0588";"26.8609"
"269.429";"39.0106";"26.8689"
"292.96";"38.9798";"26.8853"
"316.719";"38.9618";"26.8805"
"344.818";"38.9502";"26.8609"
"364.237";"38.9374";"26.8512"
"395.992";"38.9001";"26.8365"
"411.526";"38.8886";"26.8248"
"447.165";"38.8928";"26.7877"
"459.045";"38.8886";"26.7741"
"499.252";"38.8257";"26.739"
"506.334";"38.8154";"26.7365"
"550.197";"38.792";"26.739"
"553.624";"38.791";"26.7394"
"597.03";"38.7681";"26.739"
"599.315";"38.7666";"26.7388"
