x;n_NO;n_NO_0
"-0.129";"16.7757";"16.7533"
"4.034";"16.7782";"16.0928"
"12.596";"16.7832";"15.7006"
"18.094";"16.786";"15.5982"
"20.685";"16.7872";"15.5771"
"34.588";"16.7963";"15.4983"
"38.593";"16.8013";"15.4867"
"51.239";"16.8179";"15.4903"
"56.815";"16.8221";"15.4969"
"67.811";"16.8282";"15.4885"
"74.802";"16.8351";"15.4736"
"84.384";"16.8498";"15.452"
"92.945";"16.8666";"15.4391"
"101.035";"16.8825";"15.437"
"110.853";"16.8973";"15.4382"
"117.687";"16.904";"15.4351"
"128.997";"16.9104";"15.4261"
"134.416";"16.9144";"15.4228"
"146.905";"16.9305";"15.414"
"150.91";"16.9359";"15.4091"
"164.734";"16.9528";"15.3907"
"167.404";"16.9575";"15.3884"
"182.956";"16.9889";"15.3786"
"184.213";"16.9902";"15.3774"
"199.529";"16.9782";"15.3554"
