x;T;Tv_NO;Tv_N2
"-0.134";"6973.3";"876.6".586
"0.042";"6968.2";"1040.8";"679.8"
"0.132";"6965.7".1124."726.5"
"1.67";"6921.8";"2330.4".1334
"1.675";"6921.7";"2333.5";"1335.5"
"3.886";"6854.3";"3261";"1828.9"
"4.66";"6827.9";"3548.3";"1963.1"
"5.447";"6798.9";"3822.7";"2087.9"
"6.678";"6754.6";"4182.6";"2264.5"
"9.303";"6684.1";"4746.4";"2594.6"
"10.746";"6656.4";"5002.3";"2760.3"
"11.315";"6646.5";"5096.5";"2823.9"
"15.335";"6585.4";"5552.8";"3240.3"
"18.186";"6546.1";"5746.6";"3491.1"
"19.912";"6522.5";"5844.1";"3625.5"
"23.698";"6471.5";"6013.3";"3884.7"
"26.777";"6432.1".6096.4073
"31.934";"6372.8";"6149.1";"4361.2"
"32.175";"6370.3";"6150.6";"4374.1"
"35.66".6336."6171.3";"4551.5"
"42.735";"6284.2";"6197.3";"4839.6"
"43.497";"6280.3";"6198.1".4865
"44.426";"6275.9";"6198.3".4895
"53.135";"6245.6";"6176.9";"5138.4"
"55.805";"6233.4";"6167.7";"5202.8"
"56.903";"6227.9";"6164.4";"5228.1"
"61.843";"6203.4";"6151.9";"5332.9"
"69.448";"6180.3";"6137.3";"5473.7"
"69.913";"6179.2";"6136.5";"5481.9"
"70.083";"6178.8";"6136.2";"5484.9"
