x;n_NO;n_NO_0
"-0.053";"26.7981";"26.7425"
"-0.053";"26.7981";"26.7394"
"0.43";"26.8421";"21.3367"
"2.008";"26.9815";"17.5783"
"3.894";"27.1341";"16.1102"
"4.889";"27.2092";"15.7909"
"5.778";"27.2738";"15.7383"
"12.839";"27.7319";"15.7187"
"13.283";"27.7573";"15.7267"
"21.363";"28.1488";"15.97"
"23.744";"28.259";"16.0515"
"30.15";"28.5598";"16.2618"
"37.838";"28.8926";"16.4947"
"41.632";"29.0524";"16.5996"
"54.313";"29.5582";"16.8975"
"59.52";"29.74";"17.0106"
"70.396";"30.0671";"17.2516"
"77.094";"30.2528";"17.3826"
"86.872";"30.5173";"17.5287"
"94.903";"30.729";"17.637"
"103.269";"30.9284";"17.7646"
"112.792";"31.1161";"17.9111"
"119.509";"31.2416";"18.0008"
"130.444";"31.4641";"18.1264"
"135.749";"31.5744";"18.183"
"148.019";"31.8062";"18.3026"
"152.068";"31.868";"18.3375"
"165.75";"32.0297";"18.4592"
"168.466";"32.0638";"18.4877"
"183.482";"32.2985";"18.6549"
"184.706";"32.3182";"18.667"
"198.467";"32.5198";"18.7724"
"199.456";"32.5336";"18.7789"
