x;T;Tv_NO;Tv_N2
"-0.476";"6057.7";"1185.1";"758.3"
"-0.353";"6050.3";"1340.8";"833.6"
"-0.066";"6033.2";"1704.2";"1009.2"
"0.472";6001."2391.4";"1337.4"
"1.412";"5944.8";"3251.5";"1898.2"
"1.863";"5917.8";"3539.9";"2157.3"
"3.866";"5796.3";"4590.6";"2983.5"
"4.197";"5775.8";4721."3071.9"
"4.345";"5766.5";"4772.9";"3109.2"
"6.893";"5679.6";"5194.9";"3658.2"
"8.06";5663."5275.9";"3876.2"
"8.622";"5655.6";"5308.1";"3975.5"
"13.042";"5600.1";"5461.1";"4541.6"
"13.401";"5595.7";"5467.1";"4571.9"
"19.094";"5526.9";"5483.7";4953
"19.436";"5522.8";"5482.3";"4971.7"
"22.926";"5492.5";"5467.1";"5123.7"
"24.433";"5489.9";"5462.4";"5167.7"
"25.714";"5488.8";"5459.6";"5199.9"
"31.52";"5485.5";"5455.3";"5303.8"
"37.562";"5483.5";"5456.2";"5370.5"
"43.253";"5483.4";"5457.7";"5412.6"
"43.486";"5483.4";"5457.7";"5413.9"
"56.844";"5491.4";"5466.6";"5450.7"
"60.793";"5494.3";"5472.3";"5460.1"
"60.909";"5494.4";"5472.5";"5460.4"
"78.333";"5505.1";"5515.7";"5499.7"
"78.449";"5505.2";"5515.9";"5499.9"
"78.566";"5505.3";"5516.1";"5500.1"
"95.757";"5526.9";5516;"5510.6"
"95.757";"5526.9";5516;"5510.6"
"95.873";"5527.1";"5516.1";"5510.7"
"113.064";"5537.8";"5532.4";"5532.2"
"113.064";"5537.8";"5532.4";"5532.2"
"113.18";"5537.9";"5532.5";"5532.4"
"130.836";"5548.7";"5543.3";"5559.2"
"130.953";"5548.7";"5543.4";"5559.4"
"131.069";"5548.8";"5543.5";"5559.6"
"148.144";"5554.2";"5565.1";5576
"148.144";"5554.2";"5565.1";5576
"148.26";"5554.2";"5565.1";"5575.9"
"165.683";"5570.5";"5559.6";"5559.6"
"165.684";"5570.5";"5559.6";"5559.6"
"165.8";"5570.6";"5559.6";"5559.6"
"183.339";"5586.8";"5586.6";"5581.4"
"183.456";"5586.8";"5586.8";"5581.5"
"199.834";"5592.2";"5608.6";"5592.3"
"199.834";"5592.2";"5608.6";"5592.3"
"200.066";"5592.3";"5608.9";"5592.3"
