x;n_NO;n_NO_0
"-0.174";"11.7069";"11.6883"
"1.391";"11.7331";"9.4898"
"5.043";"11.7953";"7.9963"
"9.391";"11.8769";"7.3469"
"10.087";"11.8924";"7.3101"
"18.957";"12.0594";"7.184"
"22.435";"12.1041";"7.18"
"51.478";"12.4119";"7.2411"
"56.696";"12.4549";"7.2542"
"83.304";"12.6067";"7.3001"
"91.13";"12.6396";"7.3098"
"115.478";"12.7273";"7.3385"
"126.087";"12.7567";"7.3469"
"146.957";"12.7922";"7.3526"
"160.174";"12.799";"7.3562"
"178.957";"12.8108";"7.3701"
"194.783";"12.8407";"7.384"
"210.783";"12.8757";"7.3944"
"229.391";"12.8991";"7.4026"
"242.783";"12.9035";"7.4075"
"263.478";"12.8968";"7.4119"
"274.261";"12.8942";"7.4119"
"297.913";"12.9053";"7.4119"
"306.261";"12.9128";"7.4135"
"332.522";"12.9371";"7.4212"
"338.087";"12.9406";"7.4221"
"366.957";"12.949";"7.4212"
"369.913";"12.9499";"7.4206"
"399.13";"12.9683";"7.4119"
"399.304";"12.9685";"7.4118"
