x,n_NO,n_NO_0
"-0,0514","3,395","3,4022"
"0,0397","3,3978","3,0626"
"0,1891","3,4023","2,7806"
"0,9763","3,4258","2,235"
"2,7045","3,4703","1,6492"
"4,3508","3,4959","1,4194"
"5,7389","3,5022","1,3181"
"9,3293","3,4778","1,1673"
"11,5971","3,446","1,1165"
"13,9129","3,406","1,0833"
"18,284","3,3163","1,0421"
"21,5842","3,2467","1,0176"
"27,1172","3,1325","0,976"
"31,4804","3,0462","0,9456"
"35,8898","2,9621","0,9209"
"41,2855","2,8625","0,8959"
"44,6321","2,8051","0,881"
"51,0604","2,7082","0,8506"
"53,4048","2,675","0,8385"
"60,8048","2,5717","0,8009"
"62,1472","2,5538","0,7952"
"69,7601","2,4603","0,7692"
"69,8272","2,4595","0,769"
