x;T_1;T_2;T_3;Tv_1;Tv_2;Tv_3
"-0.0275";"7846.1";"10311.8";"13822.1";573;"667.7";463
"-0.0012";"7843.9";"10308.5";"13820.5";627;"744.8";"520.8"
"0.0251";"7841.6";"10305.2";"13818.9";"681.1";"821.7";"578.5"
"0.1172";"7833.7";"10293.6";"13813.3";"869.9";"1087.7";"779.5"
"0.1304";"7832.6";"10291.9";"13812.5";"896.7";"1125.1";808
"0.2093";"7825.9";10282;"13807.7";"1055.7";"1344.5";"976.7"
"0.5381";"7797.8";"10240.4";"13787.4";"1660.8";"2146.5";"1618.3"
"0.6302";"7789.9";"10228.6";"13781.5";1809;"2337.9";"1776.8"
"0.7092";"7783.2";"10218.6";"13776.4";"1928.3";"2493.2";"1905.5"
"1.3406";"7730.5";"10136.2";"13731.7";"2706.7";"3558.5";"2780.7"
"1.6168";"7708.2";"10098.9";"13709.8";"2994.3";"3959.5";"3117.5"
"1.7221";"7699.8";"10084.4";13701;"3099.7";"4103.1";"3242.2"
"2.2351";"7660.6";"10011.6";"13655.2";"3587.9";"4738.8";"3829.7"
"2.735";"7625.1";9937;"13606.2";"4017.9";"5274.8";"4374.3"
"2.8534";"7617.2";"9918.8";13594;"4112.3";"5390.4";"4499.1"
"2.8665";"7616.3";"9916.7";"13592.7";"4122.6";"5402.9";"4512.9"
"3.1033";7601;"9879.7";"13567.7";"4301.6";"5619.6";"4756.6"
"3.1165";"7600.2";"9877.6";"13566.3";"4311.1";"5631.1";"4769.9"
"3.3664";"7584.8";"9837.8";"13539.2";"4484.7";5839;"5017.4"
"4.4056";"7525.8";"9667.3";"13419.4";"5022.4";"6376.7";"5954.7"
"4.9318";"7497.1";"9579.5";"13354.9";"5197.4";"6476.2";"6380.4"
"5.2607";"7478.9";"9524.6";"13313.1";"5283.2";6507;"6607.1"
"5.5896";"7460.2";"9469.8";"13270.2";"5355.4";"6521.5";"6800.7"
"5.7869";"7448.5";9437;"13243.8";"5393.3";"6524.7";"6903.4"
"5.9974";"7435.7";"9402.2";"13215.1";"5429.9";"6524.7";"7003.7"
"6.9708";"7372.7";"9243.6";"13072.5";"5555.5";"6493.1";7381
"7.7338";7321;"9121.2";"12942.7";"5611.4";"6443.7";"7590.7"
"7.9706";"7304.9";"9083.5";12898;"5621.9";"6425.2";"7638.1"
"8.2468";"7286.2";"9039.5";12843;"5630.3";"6401.8";7680
"8.5625";7265;"8989.2";"12776.6";"5635.6";"6373.1";"7708.3"
"9.2992";"7215.9";"8871.9";"12613.4";"5633.6";6304;7702
"9.6018";"7195.8";"8823.5";"12546.7";"5628.7";"6285.6";"7679.1"
"10.049";"7166.3";"8752.3";"12451.2";"5618.8";"6261.6";7634
"10.3647";"7145.6";"8702.6";"12385.8";"5610.7";"6245.2";"7597.9"
"11.1672";7093;"8580.2";"12224.9";"5588.9";"6204.5";"7500.1"
"11.7591";"7054.3";"8494.9";"12110.3";"5573.7";6175;"7426.2"
"12.6011";"6999.5";"8381.6";11952;"5553.7";6134;"7322.3"
"12.6142";"6998.6";8380;"11949.6";"5553.4";"6133.4";"7320.8"
"14.3901";"6884.4";"8166.7";"11635.4";"5514.9";"6050.8";"7120.9"
"14.9821";6847;8101;"11538.8";"5502.6";"6025.1";"7064.8"
"15.3767";"6822.4";"8058.5";11477;"5494.5";"6008.8";"7030.8"
"16.0344";"6781.9";"7989.7";"11379.1";5481;"5983.4";"6979.4"
"16.6659";"6743.6";7926;"11291.3";"5468.2";"5961.5";"6935.3"
"17.021";"6722.4";"7891.3";"11244.7";5461;"5950.3";"6912.3"
"17.9024";"6670.4";"7808.8";"11137.7";"5443.1";"5925.3";"6857.8"
"18.9811";"6608.3";"7715.5";"11022.7";"5421.5";"5898.1";6792
"20.2177";"6538.6";"7618.4";"10908.8";"5397.2";"5868.8";"6738.6"
"20.4018";"6528.4";"7604.8";"10893.3";"5393.6";"5864.5";"6732.6"
"21.0201";"6494.2";"7560.2";"10843.3";"5381.6";"5850.1";6715
"21.3227";"6477.6";"7539.1";"10819.9";"5375.9";"5843.1";"6707.5"
"22.7039";"6403.1";"7446.5";"10720.4";5350;"5811.7";"6678.1"
"25.1507";"6281.2";"7293.4";"10564.9";"5307.1";"5758.3";"6635.9"
"25.5059";"6264.8";7272;10544;"5301.3";"5750.8";"6630.3"
"25.9663";"6243.8";"7244.7";"10517.5";"5293.9";"5741.2";"6623.3"
"26.5845";6216;"7208.7";10483;"5284.2";"5728.6";6614
"27.0187";"6196.6";"7184.1";"10459.4";"5277.5";"5719.9";"6607.7"
"28.9787";"6108.6";"7082.9";"10362.1";"5248.6";"5682.4";6586
"29.5181";6084;"7057.3";"10338.6";"5240.9";"5672.7";"6585.3"
"30.3337";"6047.1";"7019.7";"10306.2";"5229.3";"5658.6";"6588.6"
"31.5044";"5996.6";"6967.6";"10266.2";"5212.6";"5639.8";"6598.4"
"32.6357";"5952.4";"6919.5";"10234.4";"5196.2";"5623.2";"6610.2"
"32.8725";"5943.8";"6909.8";"10228.6";"5192.6";5620;"6612.8"
"33.596";"5918.7";"6880.7";"10212.2";"5181.7";"5610.4";"6621.1"
"34.951";"5874.8";"6829.7";"10186.3";"5160.5";5594;"6637.3"
"37.2267";5805;"6755.2";"10152.3";"5123.5";"5570.8";"6665.8"
"40.3181";"5709.8";"6668.4";"10115.7";"5074.6";"5546.4";"6705.5"
"40.4628";"5705.3";"6664.5";"10114.1";"5072.4";"5545.4";"6707.4"
"41.0548";"5686.9";"6648.5";"10107.6";"5063.8";"5541.5";"6715.1"
"41.6073";"5669.8";"6633.5";"10101.6";5056;5538;"6722.3"
"41.7125";"5666.6";"6630.6";"10100.4";"5054.6";"5537.3";"6723.7"
"41.9098";"5660.5";"6625.3";"10098.2";"5051.9";"5536.1";"6726.2"
"45.0144";"5570.4";"6543.8";"";"5015.3";"5518.8";""
"45.2643";"5563.9";"6537.7";"";"5012.7";"5517.6";""
"49.4607";"5462.7";6441;"";"4974.5";"5498.2";""
"49.7238";"5456.6";"6435.2";"";"4972.3";5497;""
"49.8027";"5454.8";"6433.4";"";"4971.6";"5496.7";""
"49.8685";"5453.2";"6431.9";"";"4971.1";"5496.4";""
