x;p
"-19.748";"1.478"
"-17.79";"-0.395"
"-16.392";"-0.846"
"-14.713";"5.777"
"-13.399";"8.933"
"-12.252";"11.984"
"-11.189";"12.989"
"-9.594";"10.11"
"-7.916";"12.433"
"-6.965";"15.762"
"-5.986";"25.299"
"-4.783";"37.887"
"-3.972";"46.313"
"-2.909";"55.503"
"-1.399";"64.38"
"0.531";"73.951"
"2.014";"77.141"
"3.636";"76.342"
"5.203";"73.152"
"6.937";"74.746"
"9.762";"76.341"
"12.364";"77.831"
"14.993";"77.553"
"17.678";"76.234"
"20.895";"75.332"
"28.112";"79.006"
"30.154";"80.08"
"32.448";"79.178"
"34.406";"79.004"
"38.322";"80.771"
"40.084";"81.326"
"42.294";"81.36"
"44.308";"81.671"
"46.741";"80.977"
"49.063";"81.15"
"50.517";"81.982"
"54.49";"80.42"
"58.238";"80.211"
"60.643";"82.083"
"62.35";"83.053"
"63.552";"82.741"
"68.42";"82.739"
"70.545";"81.768"
"73.203";"82.044"
"75.217";"83.535"
"77.427";"84.783"
"78.825";"85.129"
"81.986";"84.227"
84;"83.671"
"85.874";"84.121"
"88.531";"85.75"
"90.573";"86.964"
"92.587";"87.969"
"96.056";"86.858"
"98.21";"85.852"
"99.832";"86.788"
